BRE,Bremen,Bremen,,DE,53.0474,8.7866
BRI,Bari,Bari,,IT,41.138,16.765
BRS,Bristol,Bristol,United Kingdom,GB,51.3824,-2.7188
BRU,Brussels Airport,Brussels,,BE,50.9013,4.4844
BSL,Basel,Basel/Mulhouse,,CH,47.5833,7.5333
BSR,Basrah,Basra,Iraq,IQ,30.5491,47.6622
BTV,Burlington,Burlington,VT,US,44.4719,-73.1533
BUD,Budapest,Budapest,,HU,47.4369,19.2555
BUF,Buffalo,Buffalo,NY,US,42.9405,-78.7322
BUQ,Bulawayo,Bulawayo,Zimbabwe,ZW,-20.0174,28.6177
BUR,Burbank,Burbank,CA,US,34.2005,-118.3586
BWI,Baltimore Washington International Apt,Baltimore,MD,US,39.1752,-76.6683
CAG,Cagliari,Cagliari,,IT,39.2472,9.0561
CAI,Cairo,Cairo,Egypt,EG,30.1219,31.4055
CAN,Guangzhou,Guangzhou,China,CN,23.3924,113.2988
CCJ,Kozhikode,Kozhikode,India,IN,11.1369,75.9552
CCP,Concepcion,Concepcion - Carriel Sur,Chile,CL,-36.7727,-73.063
CCU,Kolkata,Kolkata,India,IN,22.6547,88.4466
